home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
Italy,Spain,ITA,ESP,1988,1988-06-14,1988-06-14T18:15:00Z,Group 1,GROUP_STANDINGS,47506.0,53102,GER,30059.0,50.0685722,8.645425,Frankfurt am Main,Waldstadion (old),Waldstadion (old),Waldstadion (old),158.04251638444393
West Germany,Denmark,FRG,DEN,1988,1988-06-14,1988-06-14T15:15:00Z,Group 1,GROUP_STANDINGS,64812.0,53099,GER,49785.0,51.5591972,7.0666278,Gelsenkirchen,Parkstadion,Parkstadion,Parkstadion,130.18379029828262
Netherlands,USSR,NED,URS,1988,1988-06-12,1988-06-12T18:15:00Z,Group 2,GROUP_STANDINGS,54336.0,52864,GER,45134.0,50.9335056,6.8749944,Cologne,Stadion Köln,Stadion Köln,Cologne Stadium,120.38817742721673
England,Republic of Ireland,ENG,IRL,1988,1988-06-12,1988-06-12T13:30:00Z,Group 2,GROUP_STANDINGS,51373.0,53101,GER,54697.0,48.7922694,9.2320083,Stuttgart,Arena Stuttgart,Arena Stuttgart,Stuttgart Arena,93.92288425324972
Denmark,Spain,DEN,ESP,1988,1988-06-11,1988-06-11T13:30:00Z,Group 1,GROUP_STANDINGS,55707.0,52865,GER,45000.0,52.3600667,9.7311833,Hanover,Stadion Hannover,Stadion Hannover,Stadion Hannover,123.79333333333334
West Germany,Italy,FRG,ITA,1988,1988-06-10,1988-06-10T18:15:00Z,Group 1,GROUP_STANDINGS,62552.0,52867,GER,43500.0,51.0947389,6.8794639,Dusseldorf,Rheinstadion,Rheinstadion,Rheinstadion,143.7977011494253
Czechoslovakia,West Germany,TCH,FRG,1976,1976-06-20,1976-06-20T19:15:00Z,,FINAL,30790.0,53479,SRB,49450.0,44.7832028,20.4649167,Belgrade,Stadion Rajko Mitić,Stadion Rajko Mitić,Stadion Rajko Mitić,62.26491405460061
Netherlands,Yugoslavia,NED,YUG,1976,1976-06-19,1976-06-19T19:15:00Z,,THIRD_PLAY_OFF,6766.0,62092,CRO,25074.0,45.8188722,16.0180528,Zagreb,Stadion Maksimir,Stadion Maksimir,Stadion Maksimir,26.984126984126984
Yugoslavia,West Germany,YUG,FRG,1976,1976-06-17,1976-06-17T19:15:00Z,,SEMIFINAL,50652.0,53479,SRB,49450.0,44.7832028,20.4649167,Belgrade,Stadion Rajko Mitić,Stadion Rajko Mitić,Stadion Rajko Mitić,102.43073811931245
Czechoslovakia,Netherlands,TCH,NED,1976,1976-06-16,1976-06-16T19:15:00Z,,SEMIFINAL,17879.0,62092,CRO,25074.0,45.8188722,16.0180528,Zagreb,Stadion Maksimir,Stadion Maksimir,Stadion Maksimir,71.3049373853394
